0	Overview of the Neolithic Revolution
1	Start and end dates of the Neolithic Revolution
2	Causes of the Neolithic Revolution's beginning
3	Inventions during the Neolithic Revolution
4	Tools used during the Neolithic Revolution
5	Introduction of the Neolithic Revolution to the British Isles
6	Overview of the period following the Neolithic Revolution
7	Significance of the Neolithic Revolution
8	Houses during the Neolithic Revolution
9	Different forms of energy
10	Methods to store energy
11	Type of energy used in motion
12	Overview of mechanical energy
13	Examples of mechanical energy
14	Reason why sound is a form of mechanical energy
15	Differences between mechanical energy and potential energy
16	Comparison between potential and kinetic energy
17	Category to which chemical energy belongs
18	Type of energy used during eating
19	Overview of the planet Uranus
20	Unique characteristics of Uranus
21	Details of Uranus's orbit
22	Reasons for Uranus's tilt
23	Differences in rotation of Uranus compared to other planets
24	Peculiarities of Uranus's seasons
25	Planets similar to Uranus
26	Characteristics of the planet Neptune
27	Importance of Neptune to our solar system
28	Similarities between Uranus and Neptune
29	Possibility of life existence on Uranus and Neptune
30	Most common spices used in cooking
31	Differences between spices and herbs
32	Reasons why spices taste good
33	Origins of most commonly used spices
34	Cuisines that heavily use spices
35	Most popular spices in Indian cuisine
36	Overview of turmeric as a spice
37	Benefits of consuming turmeric
38	Oldest spice known to history
39	Most expensive spice and reasons for its cost
40	Methods to help someone quit smoking
41	Long term effects of smoking
42	Link between smoking and cancer
43	Reasons for the addictiveness of smoking
44	Alternatives to nicotine for quitting smoking
45	Efficacy of nicotine patches in smoking cessation
46	Overview of the cold turkey method for quitting smoking
47	Typical withdrawal symptoms from quitting smoking
48	Components of a balanced diet
49	Differences in balanced diet recommendations for men and women
50	Specific dietary recommendations for women
51	Importance of dairy products for good health
52	Potential harms of consuming dairy products
53	Significance of fiber in a balanced diet
54	Effects of consuming fiber in smaller amounts than recommended
55	Advantages of using Linux operating system
56	Running Windows software on Linux
57	Comparison between Linux and Windows operating systems
58	Popularity comparison between Linux and Windows
59	Method to install software on Linux
60	Easy ways to install Python on Linux
61	Methods for sharing files on Linux
62	Origins of popular music
63	Characteristics of popular music
64	Technological developments that enabled the rise of popular music
65	History and reasons for people taking popular music seriously
66	Integration of popular music into music education
67	Influential bands in popular music
68	Characteristics of a pop punk song
69	Difference between pop punk and emo music
70	Origins and history of Netflix
71	Original operation and model of Netflix
72	Relationship between Netflix and Blockbuster
73	Transition of Netflix from DVD rentals to streaming service
74	Competitors of Netflix in the streaming industry
75	Comparison between Netflix and Amazon Prime Video
76	Netflix subscriber growth trends over the years
77	Impact of Netflix on television consumption patterns
78	First artificial satellite in space
79	Types of satellite orbits
80	Important classifications of satellites
81	Working mechanism of satellite navigation systems
82	Overview and significance of the Galileo satellite system
83	Tensions between the Galileo system and the US
84	Definition and description of Cubesats
85	Advantages of using Cubesats
86	Top attractions in Washington D.C.
87	Most popular Smithsonian museums in Washington D.C.
88	Significance of the National Air and Space Museum in Washington D.C.
